City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Karwar,IN,78.35,scattered clouds,14.8,74.1333,Netalco Connects
3,Rikitea,PF,73.15,broken clouds,-23.1203,-134.9692,People ThankYou
4,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
8,Acapulco,MX,87.62,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
10,Cihuatlan,MX,87.48,scattered clouds,19.2366,-104.5651,Hotel Posada Agua Escondida
11,Atuona,PF,77.22,scattered clouds,-9.8,-139.0333,Villa Enata
12,Ribeira Grande,PT,74.64,broken clouds,38.5167,-28.7,Quinta da Meia Eira
13,Zhongxing,CN,81.45,broken clouds,33.7039,118.6792,New Century Grand Hotel Siyang
14,Biak,ID,75.29,overcast clouds,-0.9131,122.8766,Penginapan Kim
15,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
16,Port Blair,IN,80.96,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
17,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,hotel la terminal
19,Pringsewu,ID,73.38,scattered clouds,-5.3582,104.9744,Urban Style by Front One
22,Cam Ranh,VN,78.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
24,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
29,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
31,Sur,OM,89.53,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
33,Monrovia,LR,76.71,overcast clouds,6.3005,-10.7969,Sunset Inn
39,Jamestown,US,76.59,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
41,Vila Franca Do Campo,PT,72.01,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
45,Tabug,PH,76.44,broken clouds,18.0343,120.5488,Sikatel Hotel
46,Tooele,US,87.96,clear sky,40.5308,-112.2983,"Holiday Inn Express & Suites Tooele, an IHG Hotel"
47,Vieques,PR,85.66,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
48,North Bend,US,78.24,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
49,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
52,Amasya,TR,71.28,clear sky,40.6667,35.8333,Lalehan Hotel
53,Shahr-E Babak,IR,73.96,clear sky,30.1165,55.1186,سلاطین مس و نقره
54,Roma,US,78.94,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
57,Butaritari,KI,81.99,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
59,Mombasa,KE,72.01,few clouds,-4.0547,39.6636,New Palm Tree Hotel
60,Millau,FR,82.53,few clouds,44.0833,2.9167,La Villa Des Raspes
64,Gerash,IR,87.94,broken clouds,27.6652,54.1371,Sa'adat House Gerash
65,Morlaix,FR,73.45,clear sky,48.5833,-4.0,Titulipe
66,Kalmunai,LK,79.2,overcast clouds,7.4167,81.8167,VS Villa
67,Manavalakurichi,IN,78.28,overcast clouds,8.1333,77.3,Jebinrio home
68,Portland,US,88.63,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
70,Manga,BF,78.85,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
71,Urazovo,RU,77.76,overcast clouds,50.0836,38.0395,Dvuluchenskiy Tskr
73,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
77,Owosso,US,76.48,clear sky,42.9978,-84.1766,Comstock Inn and Conference Center
78,Avarua,CK,77.05,scattered clouds,-21.2078,-159.775,Paradise Inn
80,Kavieng,PG,81.32,light rain,-2.5744,150.7967,Nusa Island Retreat
82,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
84,Kahului,US,89.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
87,Porto Santo,PT,70.18,few clouds,33.072,-16.3415,Hotel Porto Santo & Spa
88,San Quintin,MX,77.49,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
91,Olinda,BR,78.53,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
92,Faanui,PF,78.24,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Najran,SA,84.85,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
97,Katsuura,JP,81.7,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
99,Semporna,MY,79.14,broken clouds,4.4818,118.6112,"Han Palace Hotel, Semporna, Sabah."
100,Sioux Lookout,CA,71.67,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
104,Bar Harbor,US,72.34,broken clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
108,Kieta,PG,81.19,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
110,Kapaa,US,84.18,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
113,Coahuayana,MX,85.71,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
114,Palu,ID,76.33,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
119,Nedryhayliv,UA,70.41,overcast clouds,50.834,33.8763,Staryi Mlyn
120,Ranong,TH,78.22,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
121,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
123,Sao Joao Da Barra,BR,73.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
124,Bengkulu,ID,76.01,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Southbridge,US,84.25,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
131,Kununurra,AU,71.58,clear sky,-15.7667,128.7333,Hotel Kununurra
135,Granada,ES,76.95,clear sky,37.25,-3.25,CORTIJO EL AVELLANO
139,Thompson,CA,78.96,scattered clouds,55.7435,-97.8558,Burntwood Hotel
140,Balkanabat,TM,85.41,clear sky,39.5108,54.3671,Nebitchi Hotel
144,Ocara,BR,74.14,overcast clouds,-4.4908,-38.5967,Pousada familiar
145,Jammalamadugu,IN,79.48,overcast clouds,14.8333,78.4,R and B Guest House
146,Touros,BR,76.33,few clouds,-5.1989,-35.4608,INN NEW HORIZON
150,Huangchuan,CN,81.82,overcast clouds,32.1272,115.0394,Guangzhou International Hotel
153,Hamilton,US,84.76,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
154,Iralaya,HN,82.15,scattered clouds,15.0,-83.2333,Iglesia morava renovada
155,Nishihara,JP,83.48,broken clouds,26.1842,127.7558,Minshuku Agaihama
156,Prado,BR,73.29,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
157,Salinopolis,BR,79.47,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
159,Concarneau,FR,77.83,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
160,Traverse City,US,73.83,few clouds,44.7631,-85.6206,Bayshore Resort
168,Wewak,PG,76.55,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
171,Takoradi,GH,74.64,overcast clouds,4.8845,-1.7554,Raybow International Hotel
173,Hithadhoo,MV,81.55,moderate rain,-0.6,73.0833,Scoop Guest House
179,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Central
180,Iquitos,PE,77.04,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
181,Nurota,UZ,71.46,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
183,Tura,IN,73.24,few clouds,25.5198,90.2201,Hotel RIKMAN Continental
184,Sao Jose Da Coroa Grande,BR,74.86,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
186,Banda Aceh,ID,78.19,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
191,Haapiti,PF,82.13,clear sky,-17.5667,-149.8667,Linareva Moorea Beach Resort
194,Broome,US,81.54,clear sky,42.2506,-75.833,Chenango Valley State Park
195,Lorengau,PG,80.64,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
196,Ramsar,IR,80.04,broken clouds,36.9226,50.6426,Rasa Residential Hotel
197,Pacific Grove,US,86.38,clear sky,36.6177,-121.9166,Lovers Point Inn
