City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Karwar,IN,14.8,74.1333,78.35,86,43,16.53,scattered clouds
1,Namibe,AO,-15.1961,12.1522,61.38,90,54,8.57,broken clouds
2,Tuktoyaktuk,CA,69.4541,-133.0374,53.6,82,75,14.97,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,73.15,70,77,20.94,broken clouds
4,Vaini,TO,-21.2,-175.2,75.36,83,40,12.66,scattered clouds
5,Khatanga,RU,71.9667,102.5,44.62,71,100,7.02,light rain
6,Ushuaia,AR,-54.8,-68.3,37.06,87,40,3.44,scattered clouds
7,Chokurdakh,RU,70.6333,147.9167,49.66,71,100,9.86,overcast clouds
8,Acapulco,MX,16.8634,-99.8901,87.62,62,75,8.05,broken clouds
9,New Norfolk,AU,-42.7826,147.0587,41.9,84,98,1.74,overcast clouds
10,Cihuatlan,MX,19.2366,-104.5651,87.48,66,40,6.91,scattered clouds
11,Atuona,PF,-9.8,-139.0333,77.22,68,33,25.48,scattered clouds
12,Ribeira Grande,PT,38.5167,-28.7,74.64,78,81,9.24,broken clouds
13,Zhongxing,CN,33.7039,118.6792,81.45,79,54,2.98,broken clouds
14,Biak,ID,-0.9131,122.8766,75.29,88,96,1.61,overcast clouds
15,Gat,IL,31.61,34.7642,80.82,100,0,5.17,clear sky
16,Port Blair,IN,11.6667,92.75,80.96,81,100,14.79,overcast clouds
17,Ixtapa,MX,20.7,-105.2,87.03,74,75,9.22,broken clouds
18,Westport,US,41.1415,-73.3579,90.3,56,0,9.22,clear sky
19,Pringsewu,ID,-5.3582,104.9744,73.38,98,28,2.8,scattered clouds
20,Inuvik,CA,68.3499,-133.7218,65.16,45,40,4.61,scattered clouds
21,Albany,US,42.6001,-73.9662,83.57,53,83,9.35,broken clouds
22,Cam Ranh,VN,11.9214,109.1591,78.76,73,20,3.44,few clouds
23,Aklavik,CA,68.2191,-135.0107,66.2,48,40,5.75,scattered clouds
24,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,17.27,scattered clouds
25,Airai,TL,-8.9266,125.4092,57.07,93,51,3.53,broken clouds
26,Nouadhibou,MR,20.931,-17.0347,73.38,78,5,20.71,clear sky
27,Turka,UA,49.1541,23.0297,54.14,94,10,2.1,clear sky
28,Qaanaaq,GL,77.484,-69.3632,38.98,72,96,6.11,overcast clouds
29,Georgetown,MY,5.4112,100.3354,82.89,90,20,3.44,few clouds
30,Mindyak,RU,54.0231,58.7891,53.65,93,70,4.16,broken clouds
31,Sur,OM,22.5667,59.5289,89.53,59,100,4.12,overcast clouds
32,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,88,75,10.36,broken clouds
33,Monrovia,LR,6.3005,-10.7969,76.71,83,100,11.99,overcast clouds
34,Chuy,UY,-33.6971,-53.4616,52.52,87,6,4.97,clear sky
35,Geraldton,AU,-28.7667,114.6,50.41,76,0,14.97,clear sky
36,Narsaq,GL,60.9167,-46.05,57.42,81,11,3.56,few clouds
37,Mataura,NZ,-46.1927,168.8643,38.46,70,19,2.82,few clouds
38,Llangefni,GB,53.2556,-4.3106,66.06,60,0,10.36,clear sky
39,Jamestown,US,42.097,-79.2353,76.59,45,20,10.36,few clouds
40,Punta Arenas,CL,-53.15,-70.9167,37.51,65,75,10.36,broken clouds
41,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,86,49,7.14,scattered clouds
42,Saint George,US,37.1041,-113.5841,95.95,35,0,8.05,clear sky
43,Busselton,AU,-33.65,115.3333,49.51,89,2,11.92,clear sky
44,Peniche,PT,39.3558,-9.3811,68.29,93,0,4.29,clear sky
45,Tabug,PH,18.0343,120.5488,76.44,88,75,3.44,broken clouds
46,Tooele,US,40.5308,-112.2983,87.96,54,0,5.75,clear sky
47,Vieques,PR,18.425,-65.8329,85.66,74,75,11.5,broken clouds
48,North Bend,US,43.4065,-124.2243,78.24,91,100,9.22,mist
49,Makakilo City,US,21.3469,-158.0858,86.32,57,75,14.97,broken clouds
50,Bluff,NZ,-46.6,168.3333,41.65,80,99,9.69,overcast clouds
51,Margate,GB,51.3813,1.3862,69.69,87,1,4.0,clear sky
52,Amasya,TR,40.6667,35.8333,71.28,79,1,3.4,clear sky
53,Shahr-E Babak,IR,30.1165,55.1186,73.96,19,0,14.9,clear sky
54,Roma,US,43.2128,-75.4557,78.94,58,0,15.01,clear sky
55,Deloraine,AU,-41.5333,146.6667,45.39,15,96,1.12,overcast clouds
56,Jardim,BR,-21.4803,-56.1381,62.44,57,0,5.32,clear sky
57,Butaritari,KI,3.0707,172.7902,81.99,75,97,13.06,overcast clouds
58,Port Alfred,ZA,-33.5906,26.891,62.44,80,92,4.0,overcast clouds
59,Mombasa,KE,-4.0547,39.6636,72.01,88,20,3.44,few clouds
60,Millau,FR,44.0833,2.9167,82.53,86,13,2.33,few clouds
61,Casper,US,42.8666,-106.3131,97.39,24,0,9.22,clear sky
62,Kaitangata,NZ,-46.2817,169.8464,37.96,74,13,6.33,few clouds
63,Aitape,PG,-3.1374,142.3475,79.0,81,73,3.6,broken clouds
64,Gerash,IR,27.6652,54.1371,87.94,19,61,7.23,broken clouds
65,Morlaix,FR,48.5833,-4.0,73.45,78,0,3.44,clear sky
66,Kalmunai,LK,7.4167,81.8167,79.2,80,100,4.54,overcast clouds
67,Manavalakurichi,IN,8.1333,77.3,78.28,81,93,16.35,overcast clouds
68,Portland,US,45.5234,-122.6762,88.63,43,0,10.36,clear sky
69,Muromtsevo,RU,56.3724,75.2418,61.7,85,43,4.12,scattered clouds
70,Manga,BF,11.6636,-1.0731,78.85,76,96,7.74,overcast clouds
71,Urazovo,RU,50.0836,38.0395,77.76,44,100,16.08,overcast clouds
72,Mutoko,ZW,-17.397,32.2268,54.23,62,0,3.65,clear sky
73,Puerto Escondido,MX,15.85,-97.0667,86.83,62,75,3.44,broken clouds
74,Taseyevo,RU,57.2169,94.8978,53.96,97,4,2.73,clear sky
75,East London,ZA,-33.0153,27.9116,63.3,76,85,4.59,overcast clouds
76,Husavik,IS,66.0449,-17.3389,49.28,78,95,1.1,overcast clouds
77,Owosso,US,42.9978,-84.1766,76.48,57,0,4.61,clear sky
78,Avarua,CK,-21.2078,-159.775,77.05,73,40,13.8,scattered clouds
79,Tiksi,RU,71.6872,128.8694,39.81,95,100,11.05,overcast clouds
80,Kavieng,PG,-2.5744,150.7967,81.32,78,96,11.23,light rain
81,Inhambane,MZ,-23.865,35.3833,68.63,78,0,8.79,clear sky
82,Port-Gentil,GA,-0.7193,8.7815,73.36,94,20,5.75,few clouds
83,Zhigansk,RU,66.7697,123.3711,49.1,73,48,22.79,scattered clouds
84,Kahului,US,20.8947,-156.47,89.62,54,20,23.02,few clouds
85,Kodiak,US,57.79,-152.4072,56.71,88,100,8.05,mist
86,Souillac,MU,-20.5167,57.5167,68.38,77,75,14.97,broken clouds
87,Porto Santo,PT,33.072,-16.3415,70.18,73,20,5.75,few clouds
