City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-08-09 19:14:40,-46.1927,168.8643,25.41,95,5,1.45
1,Bluff,NZ,2022-08-09 19:14:40,-46.6,168.3333,36.9,79,5,2.95
2,Punta Arenas,CL,2022-08-09 19:10:57,-53.15,-70.9167,41.11,87,75,8.05
3,Kapaa,US,2022-08-09 19:14:41,22.0752,-159.319,80.58,79,75,11.5
4,Jamestown,US,2022-08-09 19:10:58,42.097,-79.2353,73.02,62,100,8.05
5,Hobart,AU,2022-08-09 19:10:09,-42.8794,147.3294,38.05,92,0,4.61
6,Bougouni,ML,2022-08-09 19:14:42,11.417,-7.479,75.13,93,100,7.29
7,Victoria,HK,2022-08-09 19:13:55,22.2855,114.1577,82.45,92,100,17.0
8,Yantal,RU,2022-08-09 19:14:43,56.8471,105.2542,52.11,78,37,2.62
9,Bengkulu,ID,2022-08-09 19:14:43,-3.8004,102.2655,74.77,91,33,4.61
10,Chelmno,PL,2022-08-09 19:14:44,53.3485,18.4251,69.24,54,87,7.05
11,Castro,BR,2022-08-09 19:14:44,-24.7911,-50.0119,57.65,98,100,3.56
12,Sabang,ID,2022-08-09 19:14:45,5.8933,95.3214,82.27,77,100,21.72
13,Ushuaia,AR,2022-08-09 19:13:16,-54.8,-68.3,42.46,65,0,4.61
14,Samarai,PG,2022-08-09 19:14:46,-10.6167,150.6667,78.71,81,95,18.41
15,Constitucion,CL,2022-08-09 19:14:46,-35.3333,-72.4167,59.02,49,99,8.14
16,Tabuk,PH,2022-08-09 19:14:47,17.4189,121.4443,75.69,93,100,0.89
17,Kalmunai,LK,2022-08-09 19:14:47,7.4167,81.8167,80.17,66,100,5.23
18,Amga,RU,2022-08-09 19:14:48,60.8953,131.9608,50.88,92,100,3.47
19,Ziro,IN,2022-08-09 19:14:48,27.6333,93.8333,60.57,94,100,0.98
20,Narsaq,GL,2022-08-09 19:14:49,60.9167,-46.05,50.22,64,8,4.34
21,Qaanaaq,GL,2022-08-09 19:14:49,77.484,-69.3632,38.16,63,0,0.87
22,Avarua,CK,2022-08-09 19:14:50,-21.2078,-159.775,73.45,73,20,10.36
23,Boda,CF,2022-08-09 19:14:50,4.3189,17.4695,72.48,88,99,1.39
24,Paamiut,GL,2022-08-09 19:14:52,61.994,-49.6678,41.88,91,99,15.1
25,Sao Joao Da Barra,BR,2022-08-09 19:14:52,-21.6403,-41.0511,77.09,76,96,11.45
26,Grindavik,IS,2022-08-09 19:14:55,63.8424,-22.4338,53.55,100,100,21.85
27,Elat,IL,2022-08-09 19:14:55,29.5581,34.9482,96.64,26,0,13.8
28,Butaritari,KI,2022-08-09 19:14:56,3.0707,172.7902,81.34,77,97,14.2
29,New Norfolk,AU,2022-08-09 19:14:56,-42.7826,147.0587,37.71,87,0,2.66
30,Busselton,AU,2022-08-09 19:14:57,-33.65,115.3333,50.59,69,89,11.32
31,Sulangan,PH,2022-08-09 19:14:57,11.1373,123.7228,80.8,78,100,6.44
32,Cape Town,ZA,2022-08-09 19:14:58,-33.9258,18.4232,57.11,82,20,11.5
33,Neuquen,AR,2022-08-09 19:14:29,-38.9516,-68.0591,52.97,45,100,8.19
34,Umm Lajj,SA,2022-08-09 19:15:01,25.0213,37.2685,91.35,55,10,11.18
35,Tete,MZ,2022-08-09 19:15:01,-16.1564,33.5867,69.89,43,0,4.61
36,Chuy,UY,2022-08-09 19:15:02,-33.6971,-53.4616,53.83,69,5,11.3
37,Wajima,JP,2022-08-09 19:15:04,37.4,136.9,80.69,82,100,11.97
38,Cairns,AU,2022-08-09 19:15:05,-16.9167,145.7667,60.75,88,7,9.22
39,Port Elizabeth,ZA,2022-08-09 19:13:26,-33.918,25.5701,62.31,74,100,3.0
40,Cabo San Lucas,MX,2022-08-09 19:11:00,22.8909,-109.9124,93.61,68,20,12.66
41,Ikongo,MG,2022-08-09 19:15:06,-21.8833,47.4333,59.9,97,33,1.48
42,Rikitea,PF,2022-08-09 19:12:04,-23.1203,-134.9692,73.49,78,96,17.07
